line_21	line_21	1	0.0158217	-0.0134583	-0.00746463	0.0279236	-0.0478179
line_26	line_26	0	-0.144467	0.110001	0.0191495	0.0242659	0.0132862
line_28	line_28	0	-0.0169609	-0.192007	-0.00288549	0.0103252	0.113539
line_31	line_31	0	0.0154487	0.00794326	-0.0118709	0.0194651	-0.0613818
line_32	line_32	0	-0.203575	-0.0789608	0.0185135	-0.00302183	0.0368052
line_38	line_38	0	0.0355858	0.000187187	-0.0132374	0.00948451	-0.0415554
line_40	line_40	1	0.035654	0.011773	-0.00419872	0.0221884	-0.0340998
line_41	line_41	0	0.0296892	0.0168576	-0.00936741	0.0189218	-0.0254365
line_42	line_42	0	0.0370127	0.00547453	-0.0058212	0.0254671	-0.0197912
line_45	line_45	0	0.0394727	0.0131146	-0.0154401	0.0501113	-0.0374804
line_48	line_48	1	-0.162711	0.114091	0.00458443	0.032807	-0.00848216
line_49	line_49	1	0.0228032	-0.0111523	-0.00918662	0.0122044	-0.00318222
line_57	line_57	0	0.0343223	0.00686343	-0.0105855	0.0305039	-0.0443743
line_59	line_59	0	-0.0277419	-0.200722	0.0096305	7.32E-05	0.00648579
line_69	line_69	1	0.033936	0.00384407	-0.00483783	0.0415384	0.0983204
line_73	line_73	1	0.0402162	0.00443759	-0.0216706	-0.00275198	-0.0110577
line_75	line_75	1	0.0401501	0.0104455	-0.000837107	0.0210316	-0.013022
line_83	line_83	0	0.0334907	0.00402615	-0.00508058	0.0217437	-0.00770248
line_85	line_85	0	-0.0200356	0.0429031	-0.0129153	0.0352802	0.0102123
line_88	line_88	0	-0.0164444	0.0396808	-0.0064331	0.0267478	0.00594383
line_91	line_91	0	0.0385204	0.000343321	5.87E-06	0.020753	-0.0136911
line_93	line_93	0	-0.158201	0.097182	0.0152791	0.0356355	0.0128193
line_100	line_100	1	-0.0135938	0.0476419	-0.00320653	0.0236425	-0.0593223
line_101	line_101	0	-0.0113811	0.0423779	-0.0168181	0.0361961	0.0108295
line_105	line_105	0	0.0373271	0.0210573	-0.00689703	0.0244593	-0.0526259
line_109	line_109	0	-0.0143166	0.0393822	-0.00519966	0.0322849	-0.0126061
line_129	line_129	0	0.0352606	0.0152434	-0.0150285	0.00954131	-0.0239807
line_136	line_136	1	0.0413875	0.00460955	-0.0207176	0.0130665	-0.0371565
line_138	line_138	0	0.0322829	0.0120285	-0.00630116	0.0275469	-0.0481402
line_142	line_142	1	0.0305189	0.00813689	-0.0163253	0.0204122	-0.0246637
line_149	line_149	1	0.0333183	0.00368826	-0.0185532	0.0135479	-0.0183586
line_153	line_153	1	0.038441	0.00675154	0.000380675	0.002108	-0.0284764
line_158	line_158	0	0.0324833	0.00365195	-0.00868673	0.00867239	-0.0155469
line_161	line_161	0	-0.174385	0.099127	0.0212436	0.0343718	-0.0148562
line_176	line_176	1	0.0331269	0.00392923	-0.00800328	0.0149404	-0.0122352
line_177	line_177	0	0.0332566	0.00719338	-0.0157069	0.0280132	-0.0252329
line_181	line_181	1	0.0311785	0.0156945	-0.00625035	0.0152803	-0.0175355
line_189	line_189	1	0.0279833	0.0179547	0.00800933	0.0479434	-0.0823579
line_195	line_195	0	0.0273044	-0.00326239	-0.00581921	0.0193967	-0.0155511
line_208	line_208	0	0.0394808	0.00959857	-0.00869535	0.0411933	-0.0251114
line_217	line_217	0	0.0373974	0.0134698	-0.0112347	0.0238674	-0.0207947
line_223	line_223	1	0.029853	0.0118719	-0.0194702	0.02015	-0.0337345
line_227	line_227	1	0.0341366	0.00181893	-0.00518088	0.0220588	-0.0172386
line_228	line_228	0	0.0276377	0.0102848	-0.0129639	0.0304866	-0.00925571
line_229	line_229	0	0.0301136	0.00663262	-0.0177256	0.0169012	0.00898265
line_233	line_233	0	-0.153033	0.10878	-0.00667745	-0.00397363	0.0334455
line_235	line_235	0	0.0334971	0.00718339	-0.00394632	0.0373326	-0.000149276
